barcode,dateaccessioned,title,editionstatement,author,Subject,Callnumber,Shelving_location,itemtype,price
224DB1493,01/03/2016,LET US C,12,KANETKAR YASHAVANT,IT,005.133C/KAN,,DB,
224DB1494,01/03/2016,DATA STRUCTURES THROUGH C,2,KANETKAR YASHAVANT,IT,005.73/KAN,,DB,1
224DB1495,01/03/2016,GRANTHALAYA VA MAHITISHASTRA PARIBHASHA KOSH ( ENGLISH - MARATHI ),,DEVDHAR VIJAY,IT,020.7/DEV,,DB,1
224DB1496,01/03/2016,MICROPROCESSORS,,RAFIQUZZAMAN M,E &amp; TC,004.16/RAF,,DB,1
224DB1497,01/03/2016,TEST YOUR C SKILLS,5,KANETKAR YASHAVANT,E &amp; TC,005.133C/KAN,,DB,1
224DB1498,01/03/2016,GATE 2014 ELECTRONICS AND COMUNICATION ENGINEERING,,G K PUBLICATIONS ,E &amp; TC,371.26/GKP,,DB,1
224DB1499,01/03/2016,JAVA NETWORK PROGRAMMING,3,HAROLD RUSTY ELLIOTTE,COMPUTER,005.133J/HAR,,DB,1
224DB1500,01/03/2016,PROGRAMMING IN ANSI C,5,BALAGRUSAMY E,COMPUTER,055.133C/BAL,,DB,1
224DB1501,01/03/2016,GATE 2016 COMPUTER COMMUNICATIONS,7,G K PUBLICATIONS ,COMPUTER,371.26/GKP,,DB,1
224DB1502,02/03/2016,DATA AND COMPUTER COMMUNICATIONS,7,STALLINGS WILLIAM,COMPUTER,004.65/STA,,DB,1
224DB1503,02/03/2016,PIC MICROCONTROLLER AND EMBEDDED SYSTEMS,,MAZADI ALI MUHAMMAD,E &amp; TC,629.895/MAZ/MCK,,DB,1
224DB1504,02/03/2016,8051 MICROCONTROLLER AND EMBEDDED SYSTEMS,2,MAZIDI ALI MUHAMMAD,E &amp; TC,629.895/MAZ,,DB,1
224DB1505,02/03/2016,CMOS DIGITAL INTEGRATED CIRCUITS,3,KANG SUNG-MO,E &amp; TC,621.39732/KAN/LEB,,DB,1
224DB1506,02/03/2016,DIGITAL COMMUNICATION,,BHATTACHARYA AMITABHA,IT,621.382/BHA,,DB,1
224DB1507,02/03/2016,C PROGRAMMING ESSENTIALS,,DEY N K,IT,005.133C/DEY/BAN,,DB,1
224DB1508,02/03/2016,QUANTITATIVE APTITUDE,,AGGARWAL S R,IT,371.26/AGG,,DB,1
224DB1509,02/03/2016,COMMUNICATION SYSTEMS,,CARLSON BRUCE A,E &amp; TC,621.38/CAR,,DB,1
